__quarterly__,ne_ru_us,__eof__
,National Currency to US Dollar Exchange Rate: Average of Daily Rates for the Russian Federation,__eof__
1992Q3,0.243,__eof__
1992Q4,0.433666666666667,__eof__
1993Q1,0.661,__eof__
1993Q2,1.001,__eof__
1993Q3,1.079,__eof__
1993Q4,1.22566666666667,__eof__
1994Q1,1.83466666666667,__eof__
1994Q2,2.121,__eof__
1994Q3,2.53866666666667,__eof__
1994Q4,3.07166666666667,__eof__
1995Q1,4.436,__eof__
1995Q2,4.94866666666667,__eof__
1995Q3,4.47085666666667,__eof__
1995Q4,4.55174333333333,__eof__
1996Q1,4.75766666666667,__eof__
1996Q2,4.977,__eof__
1996Q3,5.26566666666667,__eof__
1996Q4,5.483,__eof__
1997Q1,5.653,__eof__
1997Q2,5.76566666666667,__eof__
1997Q3,5.81466666666667,__eof__
1997Q4,5.906,__eof__
1998Q1,6.0448,__eof__
1998Q2,6.15066666666667,__eof__
1998Q3,9.16383333333333,__eof__
1998Q4,17.4610333333333,__eof__
1999Q1,22.8895,__eof__
1999Q2,24.4942333333333,__eof__
1999Q3,24.8239,__eof__
1999Q4,26.2719666666667,__eof__
2000Q1,28.4582666666667,__eof__
2000Q2,28.3821333333333,__eof__
2000Q3,27.7944333333333,__eof__
2000Q4,27.8818333333333,__eof__
2001Q1,28.5434333333333,__eof__
2001Q2,28.9930333333333,__eof__
2001Q3,29.3304333333333,__eof__
2001Q4,29.8072,__eof__
2002Q1,30.7755333333333,__eof__
2002Q2,31.2738,__eof__
2002Q3,31.5652666666667,__eof__
2002Q4,31.7793333333333,__eof__
2003Q1,31.6569333333333,__eof__
2003Q2,30.8709666666667,__eof__
2003Q3,30.4342666666667,__eof__
2003Q4,29.8059333333333,__eof__
2004Q1,28.6574,__eof__
2004Q2,28.8980333333333,__eof__
2004Q3,29.1721666666667,__eof__
2004Q4,28.5273666666667,__eof__
2005Q1,27.8415333333333,__eof__
2005Q2,28.0816666666667,__eof__
2005Q3,28.5096333333333,__eof__
2005Q4,28.7049333333333,__eof__
2006Q1,28.1622333333333,__eof__
2006Q2,27.2047,__eof__
2006Q3,26.8081666666667,__eof__
2006Q4,26.5887333333333,__eof__
2007Q1,26.3069333333333,__eof__
2007Q2,25.8619666666667,__eof__
2007Q3,25.5099833328719,__eof__
2007Q4,24.6444981372899,__eof__
2008Q1,24.2655,__eof__
2008Q2,23.6265666666667,__eof__
2008Q3,24.2552,__eof__
2008Q4,27.2642333333333,__eof__
2009Q1,33.9659,__eof__
2009Q2,32.2130666666667,__eof__
2009Q3,31.3180333333333,__eof__
2009Q4,29.4644333333333,__eof__
2010Q1,29.8988333333333,__eof__
2010Q2,30.2388608461615,__eof__
2010Q3,30.6209259765394,__eof__
2010Q4,30.7130411971895,__eof__
2011Q1,29.2697666666667,__eof__
2011Q2,27.9858629260314,__eof__
2011Q3,29.0525596720239,__eof__
2011Q4,31.221176218999,__eof__
2012Q1,30.2624228649331,__eof__
2012Q2,29.995985021389,__eof__
2012Q3,32.0200950020779,__eof__
2012Q4,31.0808225195668,__eof__
2013Q1,30.4056732520422,__eof__
2013Q2,31.615795261067,__eof__
2013Q3,32.7934234036081,__eof__
2013Q4,32.533682644408,__eof__
2014Q1,34.9639,__eof__
2014Q2,34.9984,__eof__
2014Q3,36.2048961211121,__eof__
2014Q4,47.3456324565553,__eof__
2015Q1,62.1884671022473,__eof__
2015Q2,52.6499666666667,__eof__
2015Q3,62.995,__eof__
2015Q4,65.9171666666667,__eof__
2016Q1,74.6463666666667,__eof__
2016Q2,65.8839,__eof__
2016Q3,64.6182333333333,__eof__
2016Q4,63.0752333333333,__eof__
2017Q1,58.8172,__eof__
2017Q2,57.1394995895501,__eof__
2017Q3,59.0030301354554,__eof__
2017Q4,58.4114750156822,__eof__
2018Q1,56.875,__eof__
2018Q2,61.7815,__eof__
2018Q3,65.5408666666667,__eof__
2018Q4,66.4751666666667,__eof__
2019Q1,66.1116666666667,__eof__
2019Q2,64.5522666666667,__eof__
2019Q3,64.5685333333333,__eof__
2019Q4,63.7181666666667,__eof__
2020Q1,66.2688,__eof__
2020Q2,72.3498666666667,__eof__
2020Q3,73.5769333333333,__eof__
2020Q4,76.2240333333333,__eof__
2021Q1,74.3378,__eof__
2021Q2,74.2142333333333,__eof__
2021Q3,73.4671,__eof__
2021Q4,72.5982666666667,__eof__
2022Q1,85.6300666666667,__eof__
2022Q2,66.5415333333333,__eof__
